Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Product,Customer
Test Jira issue summary 7271,PROJ-1,1,Bug,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Fixed,Assignee_81,2788,Reporter_285,3384,Creator_246,4358,2024-09-21,2025-02-16,2024-04-24,2024-03-25,FNC,Xray04
Test Jira issue summary 861,PROJ-2,2,Story,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Fixed,Assignee_25,2290,Reporter_63,3658,Creator_58,4742,2024-03-27,2023-04-21,2024-04-11,2023-06-25,FNA,Delta04
Test Jira issue summary 5391,PROJ-3,3,Bug,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Incomplete,Assignee_261,2429,Reporter_87,3717,Creator_140,4257,2023-06-01,2025-05-24,2024-08-22,2025-05-08,FNA,Romeo01
Test Jira issue summary 5192,PROJ-4,4,Bug,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Duplicate,Assignee_48,2597,Reporter_7,3530,Creator_243,4063,2024-01-21,2023-02-10,2024-11-30,2025-02-04,FNA,Golf03
Test Jira issue summary 5735,PROJ-5,5,Bug,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Duplicate,Assignee_52,2882,Reporter_155,3086,Creator_292,4605,2024-04-19,2024-12-30,2025-04-03,2025-01-20,FNB,Golf02
Test Jira issue summary 6266,PROJ-6,6,Story,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Fixed,Assignee_149,2431,Reporter_20,3771,Creator_250,4751,2025-08-01,2024-10-15,2023-06-04,2023-12-17,FNC,Papa02
Test Jira issue summary 467,PROJ-7,7,Task,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Unresolved,Assignee_99,2533,Reporter_252,3191,Creator_130,4386,2024-12-12,2025-03-12,2024-06-07,2023-04-20,FNB,Echo03
Test Jira issue summary 4427,PROJ-8,8,Story,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Fixed,Assignee_67,2645,Reporter_50,3993,Creator_291,4382,2023-12-10,2024-11-10,2025-01-30,2023-07-14,FNC,Foxtrot02
Test Jira issue summary 5579,PROJ-9,9,Task,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Won't Fix,Assignee_210,2509,Reporter_189,3641,Creator_125,4449,2023-03-07,2025-01-31,2025-03-04,2024-07-02,FNA,Oscar01
Test Jira issue summary 8323,PROJ-10,10,Story,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Duplicate,Assignee_248,2504,Reporter_67,3203,Creator_264,4157,2023-03-08,2024-10-11,2024-01-31,2025-05-20,FNB,Sierra02
Test Jira issue summary 1686,PROJ-11,11,Story,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Incomplete,Assignee_119,2887,Reporter_202,3022,Creator_201,4100,2023-11-04,2025-02-06,2025-05-20,2024-08-10,FNB,Tango03
Test Jira issue summary 770,PROJ-12,12,Story,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Duplicate,Assignee_228,2672,Reporter_99,3695,Creator_284,4476,2025-05-04,2023-10-25,2024-10-08,2024-07-03,FNC,Yankee02
Test Jira issue summary 6950,PROJ-13,13,Task,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Fixed,Assignee_103,2806,Reporter_149,3618,Creator_188,4674,2024-03-23,2024-04-25,2024-11-22,2023-03-28,FNC,Xray02
Test Jira issue summary 2434,PROJ-14,14,Story,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Won't Fix,Assignee_289,2554,Reporter_160,3500,Creator_44,4633,2025-06-26,2024-05-24,2023-04-21,2023-03-18,FNA,India03
Test Jira issue summary 5312,PROJ-15,15,Bug,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Unresolved,Assignee_240,2408,Reporter_166,3593,Creator_10,4229,2024-12-24,2023-01-08,2024-03-11,2023-05-24,FNA,Delta02
